CountryCode,CountryName,Year,Schooling,MinWage,Unemployment,MinWage_Growth,Unemployment_LastYear,Cluster
AFG,Afghanistan,2015,2.124310017,305.881,9.052,0.0,0.0,1
AFG,Afghanistan,2016,2.268591682,307.848,10.133,0.6430605366139153,9.052,1
AFG,Afghanistan,2017,2.412873348,341.794,11.184,11.026870403575773,10.133,1
AFG,Afghanistan,2018,2.557155013,353.611,11.196,3.4573456526445723,11.184,1
AFG,Afghanistan,2019,2.701436679,357.631,11.185,1.136842462479959,11.196,1
AFG,Afghanistan,2020,2.845718344,348.384,11.71,-2.5856259664290726,11.185,1
AFG,Afghanistan,2021,2.99000001,343.97,11.994,-1.2669927436391948,11.71,1
AFG,Afghanistan,2022,2.514790058,326.7,14.1,-5.020786696514246,11.994,1
AFG,Afghanistan,2023,2.514790058,356.716,13.991,9.187633914906645,14.1,1
AFG,Afghanistan,2024,2.547740578777778,393.193,13.295,10.225781854472448,13.991,1
ARM,Armenia,2015,11.56999969,296.961,18.261,0.0,0.0,2
ARM,Armenia,2016,11.68974018,317.865,17.617,7.039308191984794,18.261,2
ARM,Armenia,2017,11.18999958,330.372,17.704,3.934689254872348,17.617,2
ARM,Armenia,2018,11.23666636,330.986,18.966,0.1858511011828989,17.704,2
ARM,Armenia,2019,11.28333314,338.291,18.304,2.207041989691416,18.966,2
ARM,Armenia,2020,11.32999992,429.353,18.175,26.91824494296331,18.304,2
ARM,Armenia,2021,11.34497821,414.062,15.469,-3.5614051840793026,18.175,2
ARM,Armenia,2022,11.34497821,411.63,13.379,-0.587351652651058,15.469,2
ARM,Armenia,2023,11.34497821,463.513,13.245,12.60428054320628,13.379,2
ARM,Armenia,2024,11.37051927777778,475.902,13.329,2.672848442222775,13.245,2
AZE,Azerbaijan,2015,10.56999969,294.394,4.96,0.0,0.0,2
AZE,Azerbaijan,2016,10.64999962,254.292,5.0,-13.621880880724468,4.96,2
AZE,Azerbaijan,2017,10.64000034,240.807,5.0,-5.302958803265545,5.0,2
AZE,Azerbaijan,2018,10.64000034,269.314,4.9,11.838111018367425,5.0,2
AZE,Azerbaijan,2019,10.64000034,526.88,5.0,95.63780568407137,4.9,2
AZE,Azerbaijan,2020,10.74750018,532.462,7.24,1.0594442757364098,5.0,2
AZE,Azerbaijan,2021,10.85500002,517.859,6.04,-2.74254312983836,7.24,2
AZE,Azerbaijan,2022,10.96249986,589.504,5.65,13.834846937100645,6.04,2
AZE,Azerbaijan,2023,11.06999969,648.832,5.636,10.064053848659205,5.65,2
